time,delta,size,class,pre_z,post_z,driver,controls_moved,lag_h
03-06 12:47,17.0,trim,anticipatory?,0.0,4.9,-,-,
03-09 21:43,-10.0,trim,reactive,10.0,4.4,body_dp_total,hot_blast_vol_nm3h,5.2
03-12 05:52,5.0,trim,anticipatory?,0.0,8.9,-,-,
03-15 15:18,5.0,trim,reactive,3.5,10.0,co_pct,hot_blast_temp,6.6
03-15 22:10,5.0,trim,reactive,3.9,10.0,h2_pct,hot_blast_temp,5.7
03-16 03:38,10.0,trim,reactive,10.0,3.0,top_press_avg,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h",4.9
03-16 04:49,-5.0,trim,reactive,10.0,10.0,top_press_avg,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h",6.1
03-16 07:06,-5.0,trim,reactive,10.0,10.0,top_press_avg,hot_blast_vol_nm3h,7.9
03-16 12:18,10.0,trim,coordinated,3.0,10.0,body_dp_total,"coal_rate_actual_value,hot_blast_vol_nm3h",
03-20 09:31,50.0,large,reactive,4.3,10.0,body_raft,"coal_rate_actual_value,oxygen_flow",1.8
03-20 14:55,60.0,large,reactive,6.8,10.0,hot_blast_press,"coal_rate_actual_value,hot_blast_vol_nm3h,oxygen_flow",0.9
03-20 21:39,-120.0,large,reactive,10.0,10.0,hm_per_charge,"coal_rate_actual_value,hot_blast_vol_nm3h,oxygen_flow",6.4
03-21 21:40,-120.0,large,reactive,6.2,2.7,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",3.9
03-22 00:38,-25.0,large,reactive,6.2,3.7,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",6.9
03-22 02:23,-10.0,trim,reactive,6.2,3.7,hm_per_charge,"hot_blast_vol_nm3h,oxygen_flow",7.9
03-22 04:01,-15.0,trim,reactive,5.2,4.0,h2_pct,-,7.8
03-23 22:01,195.0,large,reactive,7.3,10.0,hm_per_charge,"coal_rate_actual_value,oxygen_flow",1.5
03-26 00:24,-10.0,trim,reactive,10.0,10.0,runner_temp_pci_taphole,-,7.9
03-26 03:16,-10.0,trim,reactive,10.0,10.0,runner_temp_pci_taphole,-,7.8
03-26 07:37,-20.0,large,reactive,10.0,10.0,runner_temp_pci_taphole,hot_blast_vol_nm3h,7.9
03-26 20:41,-10.0,trim,reactive,10.0,10.0,runner_temp_pci_taphole,-,7.9
03-27 09:01,-5.0,trim,anticipatory?,2.0,3.3,top_temp_avg,-,
03-28 12:27,-5.0,trim,reactive,10.0,6.7,hm_per_charge,-,5.7
03-30 20:10,-3.0,trim,anticipatory?,3.1,3.5,top_temp_avg,-,
04-01 07:01,5.0,trim,reactive,3.3,10.0,h2_pct,"hot_blast_temp,oxygen_flow",4.8
04-01 17:34,-3.0,trim,reactive,10.0,10.0,body_etaco,-,6.3
04-02 21:37,-10.0,trim,reactive,10.0,10.0,hm_per_charge,-,7.9
04-04 01:55,-3.0,trim,reactive,10.0,2.6,body_raft,coal_rate_actual_value,0.9
04-04 10:50,-2.0,trim,anticipatory?,2.6,4.1,body_dp_top,-,
04-06 10:51,-2.0,trim,reactive,10.0,2.3,body_raft,coal_rate_actual_value,5.6
04-07 15:16,5.0,trim,reactive,4.9,2.9,co_pct,oxygen_flow,7.3
04-07 15:44,-3.0,trim,reactive,4.9,2.9,co_pct,oxygen_flow,7.7
04-07 19:39,-3.0,trim,reactive,3.5,3.7,top_press_avg,oxygen_flow,4.9
04-08 13:05,5.0,trim,coordinated,3.1,4.2,co_pct,"coal_rate_actual_value,hot_blast_vol_nm3h,oxygen_flow",
04-11 00:12,-2.0,trim,anticipatory?,3.1,3.4,tuyere_velocity,-,
04-14 00:13,10.0,trim,reactive,6.8,10.0,top_press_avg,"coal_rate_actual_value,hot_blast_vol_nm3h,oxygen_flow",4.7
04-14 06:20,10.0,trim,reactive,10.0,10.0,top_press_avg,"hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",6.1
04-14 23:09,-10.0,trim,reactive,10.0,2.3,top_press_avg,coal_rate_actual_value,7.9
04-15 01:38,-5.0,trim,reactive,10.0,10.0,top_press_avg,-,7.9
04-15 06:04,-5.0,trim,coordinated,1.7,10.0,co_pct,hot_blast_temp,
04-15 14:06,50.0,large,reactive,10.0,10.0,top_press_avg,"coal_rate_actual_value,hot_blast_vol_nm3h,oxygen_flow",5.4
04-15 15:40,-25.0,large,reactive,10.0,10.0,top_press_avg,"coal_rate_actual_value,hot_blast_vol_nm3h,oxygen_flow",6.9
04-15 18:48,-10.0,trim,reactive,10.0,10.0,top_press_avg,coal_rate_actual_value,7.8
04-15 20:01,-10.0,trim,reactive,10.0,10.0,top_press_avg,"hot_blast_temp,oxygen_flow",7.8
04-16 02:56,-5.0,trim,reactive,10.0,8.4,body_raft,coal_rate_actual_value,4.2
04-16 14:47,6.0,trim,reactive,8.4,3.0,body_etaco,"coal_rate_actual_value,hot_blast_temp,oxygen_flow",7.8
04-16 17:23,-6.0,trim,coordinated,3.1,3.0,top_temp_avg,"coal_rate_actual_value,oxygen_flow",
04-17 03:06,-3.0,trim,coordinated,3.0,3.5,co_pct,"hot_blast_temp,oxygen_flow",
04-17 08:12,5.0,trim,reactive,3.5,3.4,h2_pct,"coal_rate_actual_value,hot_blast_temp",0.7
04-17 14:58,-2.0,trim,reactive,3.5,4.9,h2_pct,hot_blast_temp,7.5
04-17 21:11,-3.0,trim,reactive,4.5,5.1,runner_temp_cr_taphole,hot_blast_temp,0.7
04-18 06:19,3.0,trim,reactive,5.1,2.4,runner_temp_cr_taphole,"coal_rate_actual_value,hot_blast_temp",7.3
04-19 11:28,5.0,trim,reactive,10.0,9.7,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",4.0
04-19 12:37,5.0,trim,reactive,10.0,9.7,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",5.1
04-19 22:11,10.0,trim,reactive,9.7,5.7,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h",4.9
04-19 22:56,25.0,large,reactive,9.7,5.3,hm_per_charge,"coal_rate_actual_value,hot_blast_vol_nm3h",5.7
04-20 01:16,20.0,large,reactive,9.7,4.7,hm_per_charge,coal_rate_actual_value,7.8
04-22 16:36,-30.0,large,reactive,8.5,8.1,runner_temp_cr_taphole,-,6.4
04-22 18:07,-30.0,large,reactive,8.5,8.1,runner_temp_cr_taphole,-,7.9
04-23 10:17,-5.0,trim,unexplained,2.5,1.9,runner_temp_cr_taphole,-,
04-23 21:37,-5.0,trim,unexplained,2.0,2.6,body_perm,-,
04-26 15:02,3.0,trim,reactive,3.8,8.6,top_temp_avg,-,6.8
04-27 13:30,5.0,trim,reactive,5.3,2.7,runner_temp_cr_taphole,-,4.8
04-29 02:26,5.0,trim,reactive,4.5,10.0,top_press_avg,-,2.2
04-29 07:35,5.0,trim,reactive,10.0,3.5,body_raft,coal_rate_actual_value,1.6
04-29 11:17,-5.0,trim,reactive,10.0,3.4,body_raft,-,5.3
04-29 20:45,5.0,trim,reactive,3.4,5.3,top_press_avg,hot_blast_temp,3.3
04-30 14:01,5.0,trim,reactive,3.5,10.0,hot_blast_press,hot_blast_temp,7.5
04-30 18:09,5.0,trim,reactive,4.0,10.0,runner_temp_cr_taphole,hot_blast_temp,0.7
05-01 05:59,5.0,trim,reactive,10.0,10.0,runner_temp_cr_taphole,hot_blast_temp,8.0
05-01 13:57,-5.0,trim,reactive,10.0,7.3,runner_temp_cr_taphole,"coal_rate_actual_value,hot_blast_temp",8.0
05-02 20:21,-5.0,trim,reactive,10.0,10.0,runner_temp_cr_taphole,"hot_blast_temp,oxygen_flow",5.6
05-03 22:08,-3.0,trim,coordinated,3.0,10.0,h2_pct,"coal_rate_actual_value,hot_blast_temp,oxygen_flow",
05-04 09:00,8.0,trim,reactive,10.0,10.0,runner_temp_cr_taphole,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",2.0
05-04 09:34,5.0,trim,reactive,10.0,10.0,runner_temp_cr_taphole,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",2.6
05-04 13:19,-10.0,trim,reactive,10.0,10.0,runner_temp_cr_taphole,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",6.3
