datetime,Hot Blast PressureBar,Hot Blast Temp.oC,Hot Blast VolumeNm3/Hr.,O2 Enrichment %,OxygenFlowNm3/Hr.,PermeabilityKgs/Hr.,RAFToC,SteamKgs/Hr.,TopPressureBar,TuyereVelocitym/s,Differential PressureTotalBar,Charges/Hrs.,StockRodLevel,COKE_ASH%,COKE_FC%,COKE_IM%,COKE_MOIST%,COKE_MT,COKE_VM%,NUTCOKE_ASH%,NUTCOKE_FC%,NUTCOKE_IM%,NUTCOKE_MOIST%,NUTCOKE_MT,NUTCOKE_VM%,PCI_2_%Ash,PCI_2_%FC,PCI_2_%IM,PCI_2_MT,PCI_2_%VM,Sinter_SP_MT,Sinter_SP_02_Al2O3%,Sinter_SP_02_Basicity,Sinter_SP_02_CaO%,Sinter_SP_02_Cold_Strength_AI,Sinter_SP_02_Cold_strength_TI,Sinter_SP_02_Fe(T)%,Sinter_SP_02_FeO%,Sinter_SP_02_Hot_strength_RDI,Sinter_SP_02_Hot_strength_RI,Sinter_SP_02_K2O%,Sinter_SP_02_MgO%,Sinter_SP_02_MnO%,Sinter_SP_02_Na2O%,Sinter_SP_02_P%,Sinter_SP_02_SiO2%,Sinter_SP_02_TiO2%,ORE_%Al2O3,ORE_%CaO,ORE_%Fe(T),ORE_%K2O,ORE_%LOI,ORE_%MgO,ORE_%MnO,ORE_MT,ORE_%Na2O,ORE_%P,ORE_%SiO2,ORE_%TiO2,ORE_%TM,Geomin Type,FLUX_Al2O3%,FLUX_CaO%,FLUX_Fe2O3%,FLUX_LOI%,FLUX_MgO%,FLUX_MT,FLUX_SiO2%,FLUX_TM%,COKE_DISCHARGE_TIME,WEIGHTED_COKE_ANGLE,TOTAL_COKE_PORTIONS,NON_COKE_DISCHARGE_TIME,WEIGHTED_NON_COKE_ANGLE,TOTAL_NON_COKE_PORTIONS,UnitCost Lakhs/Thm,ActualKg/Thm.,FurnaceTopGasAnalysisCO2ETACO,Act. Fuel RateKg/Thm.,Coke Rate Kg/Thm,ProductionTonnesPerHr
2024-01-01 00:00:00,2.7,1133.0,119110.0,2.774422065,4002.0,1609.0,2310.0,2344.0,1.47,228.0,1.23,7.0,1.5,10.79,87.84,0.39,3.8,323.242,0.98,11.12,87.39,0.44,7.1,18.982666663,1.05,10.82,70.44,1.1,65.4,17.64,902.6866667,2.04,1.862424535,11.37,4.733333333,82.22222222,54.105,9.82,25.64,66.18879309241902,0.107,2.19,0.34,0.045,0.074,6.105,0.215,2.228031312,0.083298566,60.41259444,0.034826598,4.674563262,0.050104303,0.127222948,193.7205586,0.003319426,0.144636247,5.829478555,0.190886573,3.173272507,1.0,0.77,0.0,1.08,1.07,0.0,15.27,96.18,0.2,82.0,27.81818182,11.0,65.0,27.75,8.0,126.1875,75.0,43.75567666,540.0,465.0,86.93333333
2024-01-01 02:00:00,2.66,1120.0,120417.0,2.704797913,3998.0,1663.0,2363.0,1085.0,1.45,231.0,1.21,7.0,1.5,10.79,87.84,0.39,3.8,323.242,0.98,11.12,87.39,0.44,7.1,18.982666663,1.05,10.82,70.44,1.1,65.4,17.64,902.6866667,2.04,1.862424535,11.37,4.733333333,82.22222222,54.105,9.82,25.64,66.44040125236307,0.107,2.19,0.34,0.045,0.074,6.105,0.215,2.228031312,0.083298566,60.41259444,0.034826598,4.674563262,0.050104303,0.127222948,193.7205586,0.003319426,0.144636247,5.829478555,0.190886573,3.173272507,1.0,0.77,0.0,1.08,1.07,0.0,15.27,96.18,0.2,82.0,27.81818182,11.0,65.0,27.75,8.0,127.1725,73.0,41.60903642,543.0,470.0,88.08219178
2024-01-01 05:00:00,2.66,1139.0,118686.0,2.713470102,3998.0,1630.0,2361.0,0.0,1.45,230.0,1.21,7.0,1.5,10.79,87.84,0.39,3.8,323.242,0.98,11.12,87.39,0.44,7.1,18.982666663,1.05,10.82,70.44,1.1,65.4,17.64,902.6866667,2.04,1.862424535,11.37,4.733333333,82.22222222,54.105,9.82,25.64,66.43090660481802,0.107,2.19,0.34,0.045,0.074,6.105,0.215,2.228031312,0.083298566,60.41259444,0.034826598,4.674563262,0.050104303,0.127222948,193.7205586,0.003319426,0.144636247,5.829478555,0.190886573,3.173272507,1.0,0.77,0.0,1.08,1.07,0.0,15.27,96.18,0.2,82.0,27.81818182,11.0,65.0,27.75,8.0,130.6175,99.0,42.12086659,569.0,470.0,94.04040404
2024-01-01 06:00:00,2.65,1144.0,116372.0,2.77084959,4003.0,1614.0,2324.0,0.0,1.45,227.0,1.2,7.0,1.5,10.79,87.84,0.39,3.8,323.242,0.98,11.12,87.39,0.44,7.1,18.982666663,1.05,10.82,70.44,1.1,65.4,17.64,902.6866667,2.04,1.862424535,11.37,4.733333333,82.22222222,54.105,9.82,25.64,66.25525562523443,0.107,2.19,0.34,0.045,0.074,6.105,0.215,2.228031312,0.083298566,60.41259444,0.034826598,4.674563262,0.050104303,0.127222948,193.7205586,0.003319426,0.144636247,5.829478555,0.190886573,3.173272507,1.0,0.77,0.0,1.08,1.07,0.0,15.27,96.18,0.2,82.0,27.81818182,11.0,65.0,27.75,8.0,132.2075,111.0,42.36788387,581.0,470.0,91.17117117
2024-01-01 07:00:00,2.65,1143.0,119695.0,2.691955851,4000.0,1664.0,2355.0,0.0,1.45,234.0,1.2,7.0,1.5,10.79,87.84,0.39,3.8,323.242,0.98,11.12,87.39,0.44,7.1,18.982666663,1.05,10.82,70.44,1.1,65.4,17.64,902.6866667,2.04,1.862424535,11.37,4.733333333,82.22222222,54.105,9.82,25.64,66.40242266218284,0.107,2.19,0.34,0.045,0.074,6.105,0.215,2.228031312,0.083298566,60.41259444,0.034826598,4.674563262,0.050104303,0.127222948,193.7205586,0.003319426,0.144636247,5.829478555,0.190886573,3.173272507,1.0,0.77,0.0,1.08,1.07,0.0,15.27,96.18,0.2,82.0,27.81818182,11.0,65.0,27.75,8.0,131.28,104.0,41.48012791,574.0,470.0,93.26923077
2024-01-01 09:00:00,2.67,1135.0,121130.0,2.703213663,4001.0,1656.0,2295.0,1530.0,1.45,234.0,1.22,7.0,1.5,10.86,87.75,0.42,4.0,323.242,0.97,11.06,87.45,0.45,8.5,18.982666663,1.04,11.06,68.62,3.14,65.4,17.18,902.6866667,2.0,1.898756557,11.535,4.733333333,82.22222222,54.08,10.12,25.64,66.11758323583108,0.1125,2.14,0.335,0.046,0.072,6.075,0.21,2.278096492,0.169895697,59.5744067,0.058580183,5.040704061,0.096492829,0.217535856,193.7205586,0.006617992,0.149511083,6.333194332,0.182174709,3.07222948,1.0,0.46,0.0,0.57,1.1,0.0,15.27,97.02,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,130.485,98.0,41.09844077,568.0,470.0,90.40816327
2024-01-01 12:00:00,2.68,1135.0,120577.0,2.739005342,4000.0,1667.0,2281.0,2362.0,1.47,233.0,1.21,8.0,1.5,10.86,87.75,0.42,4.0,323.242,0.97,11.06,87.45,0.45,8.5,18.982666663,1.04,11.06,68.62,3.14,65.4,17.18,902.6866667,2.0,1.898756557,11.535,4.733333333,82.22222222,54.08,10.12,25.64,66.05112070301567,0.1125,2.14,0.335,0.046,0.072,6.075,0.21,2.278096492,0.169895697,59.5744067,0.058580183,5.040704061,0.096492829,0.217535856,193.7205586,0.006617992,0.149511083,6.333194332,0.182174709,3.07222948,1.0,0.46,0.0,0.57,1.1,0.0,15.27,97.02,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,128.705,94.0,41.57146188,559.0,465.0,92.12765957
2024-01-01 15:00:00,2.68,1134.0,119502.0,2.731751945,4000.0,1644.0,2318.0,1247.0,1.47,230.0,1.21,7.0,1.5,10.86,87.75,0.42,4.0,323.242,0.97,11.06,87.45,0.45,8.5,18.982666663,1.04,11.06,68.62,3.14,65.4,17.18,902.6866667,2.0,1.898756557,11.535,4.733333333,82.22222222,54.08,10.12,25.64,66.22677168259925,0.1125,2.14,0.335,0.046,0.072,6.075,0.21,2.278096492,0.169895697,59.5744067,0.058580183,5.040704061,0.096492829,0.217535856,193.7205586,0.006617992,0.149511083,6.333194332,0.182174709,3.07222948,1.0,0.46,0.0,0.57,1.1,0.0,15.27,97.02,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,128.705,94.0,40.84800741,559.0,465.0,87.0212766
2024-01-01 16:00:00,2.68,1135.0,118788.0,2.712496991,4000.0,1642.0,2368.0,0.0,1.47,230.0,1.21,7.0,1.5,10.82,87.83,0.38,4.2,323.242,0.97,10.96,87.61,0.4,7.1,18.982666663,1.03,10.15,70.93,1.1,65.4,17.82,902.6866667,2.0,1.881311325,11.495,4.733333333,82.22222222,54.1,9.95,25.64,66.46413787122573,0.108,2.125,0.33,0.045,0.0725,6.11,0.21,2.265045654,0.070104303,59.52432846,0.050219036,4.56675362,0.066492829,0.234445896,193.7205586,0.005319426,0.137233378,6.692190427,0.223001306,3.142372905,1.0,0.67,0.0,0.84,1.28,0.0,15.27,96.12,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,130.1625,105.0,42.77122369,570.0,465.0,86.76190476
2024-01-01 18:00:00,2.71,1136.0,118721.0,2.723038237,3996.0,1597.0,2320.0,411.0,1.47,227.0,1.24,7.0,1.5,10.82,87.83,0.38,4.2,323.242,0.97,10.96,87.61,0.4,7.1,18.982666663,1.03,10.15,70.93,1.1,65.4,17.82,902.6866667,2.0,1.881311325,11.495,4.733333333,82.22222222,54.1,9.95,25.64,66.23626633014432,0.108,2.125,0.33,0.045,0.0725,6.11,0.21,2.265045654,0.070104303,59.52432846,0.050219036,4.56675362,0.066492829,0.234445896,193.7205586,0.005319426,0.137233378,6.692190427,0.223001306,3.142372905,1.0,0.67,0.0,0.84,1.28,0.0,15.27,96.12,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,130.6925,109.0,42.3857868,574.0,465.0,86.78899083
2024-01-01 19:00:00,2.68,1131.0,119670.0,2.725838643,3999.0,1646.0,2308.0,1200.0,1.47,230.0,1.21,7.0,1.5,10.82,87.83,0.38,4.2,323.242,0.97,10.96,87.61,0.4,7.1,18.982666663,1.03,10.15,70.93,1.1,65.4,17.82,902.6866667,2.0,1.881311325,11.495,4.733333333,82.22222222,54.1,9.95,25.64,66.17929844487396,0.108,2.125,0.33,0.045,0.0725,6.11,0.21,2.265045654,0.070104303,59.52432846,0.050219036,4.56675362,0.066492829,0.234445896,193.7205586,0.005319426,0.137233378,6.692190427,0.223001306,3.142372905,1.0,0.67,0.0,0.84,1.28,0.0,15.27,96.12,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,128.8375,95.0,42.57540603,560.0,465.0,90.42105263
2024-01-01 20:00:00,2.68,1134.0,118900.0,2.739301286,4001.0,1638.0,2343.0,1001.0,1.47,229.0,1.21,7.0,1.5,10.82,87.83,0.38,4.2,323.242,0.97,10.96,87.61,0.4,7.1,18.982666663,1.03,10.15,70.93,1.1,65.4,17.82,902.6866667,2.0,1.881311325,11.495,4.733333333,82.22222222,54.1,9.95,25.64,66.34545477691249,0.108,2.125,0.33,0.045,0.0725,6.11,0.21,2.265045654,0.070104303,59.52432846,0.050219036,4.56675362,0.066492829,0.234445896,193.7205586,0.005319426,0.137233378,6.692190427,0.223001306,3.142372905,1.0,0.67,0.0,0.84,1.28,0.0,15.27,96.12,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,129.1025,97.0,42.29530819,562.0,465.0,91.13402062
2024-01-01 21:00:00,2.67,1133.0,120259.0,2.707792201,3999.0,1668.0,2352.0,1040.0,1.47,232.0,1.2,7.0,1.5,10.82,87.83,0.38,4.2,323.242,0.97,10.96,87.61,0.4,7.1,18.982666663,1.03,10.15,70.93,1.1,65.4,17.82,902.6866667,2.0,1.881311325,11.495,4.733333333,82.22222222,54.1,9.95,25.64,66.38818069086525,0.108,2.125,0.33,0.045,0.0725,6.11,0.21,2.265045654,0.070104303,59.52432846,0.050219036,4.56675362,0.066492829,0.234445896,193.7205586,0.005319426,0.137233378,6.692190427,0.223001306,3.142372905,1.0,0.67,0.0,0.84,1.28,0.0,15.27,96.12,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,128.0425,89.0,43.30438757,554.0,465.0,87.64044944
2024-01-01 22:00:00,2.69,1133.0,120648.0,2.711063086,3999.0,1643.0,2330.0,1468.0,1.47,231.0,1.22,7.0,1.5,10.82,87.83,0.38,4.2,323.242,0.97,10.96,87.61,0.4,7.1,18.982666663,1.03,10.15,70.93,1.1,65.4,17.82,902.6866667,2.0,1.881311325,11.495,4.733333333,82.22222222,54.1,9.95,25.64,66.2837395678696,0.108,2.125,0.33,0.045,0.0725,6.11,0.21,2.265045654,0.070104303,59.52432846,0.050219036,4.56675362,0.066492829,0.234445896,193.7205586,0.005319426,0.137233378,6.692190427,0.223001306,3.142372905,1.0,0.67,0.0,0.84,1.28,0.0,15.27,96.12,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,127.2475,83.0,43.42792281,548.0,465.0,81.08433735
2024-01-01 23:00:00,2.71,1133.0,119760.0,2.744445929,4000.0,1606.0,2326.0,1893.0,1.47,228.0,1.24,7.0,1.5,10.88,87.74,0.4,4.1,321.9096667,0.98,11.16,87.37,0.44,7.1,20.586333330000002,1.03,10.21,71.01,1.04,65.06666667,17.74,930.986,2.005,1.855498414,11.355,4.984166667,81.08416667,54.19,9.98,25.1,66.25394361586467,0.1085,2.135,0.33,0.0455,0.0755,6.12,0.22,2.412994263,0.09675247,60.29271198,0.035922777,4.434748806,0.056649506,0.149691106,211.8095558,0.005005148,0.145696254,5.997489802,0.202222203,3.362376475,1.0,0.64,0.0,0.86,1.11,0.0,16.47,94.87,0.2,82.0,27.81818182,11.0,65.0,27.75,8.0,126.1875,75.0,43.56638579,540.0,465.0,83.2
2024-01-02 01:00:00,2.51,1133.0,113710.0,2.864564824,4000.0,1555.0,2278.0,990.0,1.29,229.0,1.22,8.0,1.2,11.08,87.54,0.41,3.9,317.856,0.97,11.38,87.14,0.44,7.3,17.864666667,1.04,10.28,70.36,1.02,70.58,18.34,880.9343333,2.38,1.977113442,12.1,4.906666667,81.90666667,53.455,10.06,27.598,64.58,0.1165,2.23,0.18,0.0455,0.0695,6.12,0.18,2.682650571,0.170697464,64.03639042,0.017904099,2.985902396,0.084869225,0.070261549,258.46,0.01805231,0.061738451,1.375292115,0.171110733,2.993897186,1.0,0.52,0.0,0.58,1.06,0.0,32.54333333,96.8,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,124.045,106.0,42.70257827,546.0,440.0,90.75471698
2024-01-02 02:00:00,2.54,1134.0,113643.0,2.875607804,3999.0,1486.0,2266.0,1306.0,1.3,227.0,1.24,7.0,1.2,11.08,87.54,0.41,3.9,317.856,0.97,11.38,87.14,0.44,7.3,17.864666667,1.04,10.28,70.36,1.02,70.58,18.34,880.9343333,2.38,1.977113442,12.1,4.906666667,81.90666667,53.455,10.06,27.598,64.58,0.1165,2.23,0.18,0.0455,0.0695,6.12,0.18,2.682650571,0.170697464,64.03639042,0.017904099,2.985902396,0.084869225,0.070261549,258.46,0.01805231,0.061738451,1.375292115,0.171110733,2.993897186,1.0,0.52,0.0,0.58,1.06,0.0,32.54333333,96.8,0.1,82.0,27.81818182,11.0,65.0,27.75,8.0,124.31,108.0,42.76556777,548.0,440.0,91.01851852
