time,COKE_CALC_MT,COKE_M-40,COKE_M-10,COKE_CSR,COKE_CRI,NUTCOKE_CALC_MT,SINTER_CALC_MT,FLUX_CALC_MT,FLUX_1_CALC_MT,FLUX_2_CALC_MT,FLUX_3_CALC_MT,ORE_CALC_MT,ORE_1_CALC_MT,ORE_2_CALC_MT,ORE_3_CALC_MT,ORE_4_CALC_MT,ORE_5_CALC_MT,ORE_6_CALC_MT,ORE_7_CALC_MT,ORE_8_CALC_MT,ORE_9_CALC_MT,ORE_10_CALC_MT,ORE_11_CALC_MT,ORE_12_CALC_MT,TOTAL_PELLET_CALC_MT,CHARGES/HRS.,STOCKRODLEVEL,CHEM_PCT_C,CHEM_PCT_CR,CHEM_PCT_FE,CHEM_PCT_MN,CHEM_PCT_P,CHEM_PCT_S,CHEM_PCT_SI,CHEM_PCT_TI,SLAG_BASICITY,SLAG_PCT_AL2O3,SLAG_PCT_CAO,SLAG_PCT_FEO,SLAG_PCT_K2O,SLAG_PCT_MGO,SLAG_PCT_MNO,SLAG_PCT_NA2O,SLAG_PCT_S,SLAG_PCT_SIO2,SLAG_PCT_TIO2,SLAG_T_BASICITY,HMT_GT_1480C,COKE_DISCHARGE_TIME,WEIGHTED_COKE_ANGLE,TOTAL_COKE_PORTIONS,NON_COKE_DISCHARGE_TIME,WEIGHTED_NON_COKE_ANGLE,TOTAL_NON_COKE_PORTIONS,TOTAL HEAT LOAD,FTG_UPTAKE_TEMP_A,FTG_UPTAKE_TEMP_B,FTG_UPTAKE_TEMP_C,FTG_UPTAKE_TEMP_D,FTG_UPTAKE_TEMP_AVG,HEARTH_TEMP_A,HEARTH_TEMP_B,HEARTH_TEMP_C,HEARTH_TEMP_D,HEARTH_TEMP_AVG,BOSH_TEMP_A,BOSH_TEMP_B,BOSH_TEMP_C,BOSH_TEMP_D,BELLY_TEMP_A,BELLY_TEMP_C,BELLY_TEMP_D,LOWER_STACK_TEMP_A,LOWER_STACK_TEMP_B,LOWER_STACK_TEMP_C,LOWER_STACK_TEMP_D,PCI_KG/THM,ACT. FUEL RATEKG/THM.,FURNACETOPGASANALYSISCO2ETACO,COKE RATE KG/THM,PRODUCTIONTONNESPERHR,HOT BLAST PRESSUREBAR,TOPPRESSUREBAR,DIFFERENTIAL PRESSURETOTALBAR,HOT BLAST TEMP.OC,OXYGENFLOWNM3/HR.,STEAMKGS/HR.,RAFTOC,PERMEABILITYKGS/HR.,TUYEREVELOCITYM/S,HOT BLAST VOLUMENM3/HR.,O2 ENRICHMENT %,FURNACE TOP GAS ANALYSISCO2%,BOTTOMBAR,FURNACE TOP GAS ANALYSISONLINE (ANALYZER)CO%,TOPBAR,FURNACE TOP GAS ANALYSISH2%,UNITCOST LAKHS/THM,SINTER_COLD_STRENGTH_AI,SINTER_COLD_STRENGTH_TI,SINTER_HOT_STRENGTH_RI,SINTER_HOT_STRENGTH_RDI,COKE_VM%,COKE_ASH%,COKE_IM%,COKE_FC%,COKE_MOIST%,NUTCOKE_MOIST%,NUTCOKE_VM%,NUTCOKE_IM%,NUTCOKE_FC%,NUTCOKE_ASH%,PCI_FC%,PCI_ASH%,PCI_VM%,PCI_IM%,PCI_CALC_MT,SINTER_P%,SINTER_SIO2%,SINTER_MGO%,SINTER_FEO%,SINTER_AL2O3%,SINTER_NA2O%,SINTER_TIO2%,SINTER_FE(T)%,SINTER_CAO%,SINTER_K2O%,SINTER_BASICITY,SINTER_MNO%,FLUX_TM%,FLUX_SIO2%,FLUX_FE2O3%,FLUX_AL2O3%,FLUX_LOI%,FLUX_MGO%,FLUX_CAO%,ORE_FE(T)%,ORE_LOI%,ORE_TM%,ORE_MGO%,ORE_NA2O%,ORE_P%,ORE_TIO2%,ORE_AL2O3%,ORE_SIO2%,ORE_MNO%,ORE_CAO%,ORE_K2O%,PELLET_PCT_SIO2,PELLET_PCT_AL2O3,PELLET_PCT_FE2O3,PELLET_PCT_MGO,PELLET_PCT_TIO2,PELLET_PCT_NA2O,PELLET_PCT_K2O,PELLET_PCT_TM,PELLET_PCT_LOI,PELLET_PCT_MNO,PELLET_PCT_CAO,PELLET_PCT_P
01-04-2025 23:00,58.199,,,,,7.498,183.9703333,3.93,,,,74.92122334,,,,,,,,,,,,,0,6,1.3,4.169918367,0.016,95.07443673,0.170081633,0.093346939,0.013314286,0.417183673,0.045718367,1.099542202,15.30938776,39.41820408,0.366857143,0.58,6.719918367,0.246693878,0.233306122,0.223306122,35.84910204,0.949836735,1.286994124,1472.661224,75,23.4,10,60,26.5,8,8.94,229,196,168,159,188,59,360,467,601,371.75,72,,79,57,45,43,43,42,44,31,38,145,542,41.33774521,397,81.10344828,2.5,1.23,1.27,1149,4145,0,2288,1302,217,99125,3.367874982,17.49,0.95,24.82,0.32,3.69,118.4625,5.378888889,79.04555556,69.83,32.781,0.973769824,10.92984141,0.417539648,87.67884912,3.223017578,7,1.03,0.45,87.36,11.16,71.03,9.21,18.7,1.06,19,0.057,5.25,1.84,9,2.42,0.056,0.18,55.1,10.88,0.056,2.072380952,0.05,0.1,95.04,0.79,0.44,1.3,0,0,21.3085024,3.030472047,1.58663458,0.023799519,0.003966586,0.06743197,0.21379901,2.268887449,3.256567475,0.166596631,0.031732692,0.015866346,5.45,2.28,63.3,0.16,0.113,0.041,0.044,1.6,0.54,0.08,0.46,0.041
22-04-2025 00:00,183.7466667,,,,,7.063666667,0,6.026666667,,,,89.85966667,,,,,,,,,,,,,0,7,1.3,4.176548387,0.012394624,94.13717419,0.236053763,0.147869892,0.041973118,1.165376344,0.082609677,0.984261032,17.26117204,35.96555914,0.517354839,0.612376344,7.008698925,0.411301075,0.249731183,0.321569892,36.54882796,0.999462366,1.176049635,1441.289423,75,23.4,10,60,26.5,8,14.28,200,204,214,226,211,63,365,468,608,376,112,,104,136,53,81,61,47,60,45,46,125,555,43.33253531,430,86.64,2.62,1.3,1.32,1167,4001,0,2337,1409,244,111281,2.896079959,18.1,1.03,23.67,0.29,2.81,124.0625,5.2,78.8,64.73,32.625625,0.93912851,12.32201872,0.481742979,86.73885277,2.76811915,4.6,1.04,0.39,86.29,12.67,71.06,9.2,18.8,0.94,27.01666667,0.065871832,5.711259169,1.89410596,9.62,2.39170765,0.069543076,0.2,54.68,10.57161792,0.078455934,1.851013517,0.429,0.085176991,81.65066372,0.809181416,0.391814159,1.124336283,0,0,38.32816132,6.498598556,2.638642105,0.090467729,0.030909808,0.158318526,0.623473435,5.616538195,7.071560841,0.098006707,0.113084662,0.013570159,5.72,2.51,63.15,0.07,0.14,0.019,0.043,1.6,0.48,0.05,0.48,0.043
22-04-2025 18:00,183.7466667,,,,,7.063666667,0,6.026666667,,,,89.85966667,,,,,,,,,,,,,0,7,1.3,4.283555556,0.012177778,94.49528889,0.211777778,0.146466667,0.050711111,0.734555556,0.065466667,0.931875472,17.72733333,34.97811111,0.398888889,0.572888889,6.478888889,0.341222222,0.271222222,0.264111111,37.53688889,1.020111111,1.104482518,1471.233333,75,23.4,10,60,26.5,8,12.54,206,205,224,225,215,63,368,472,612,378.75,90,,74,101,53,55,229,46,59,45,46,96,546,42.05675479,450,86.45833333,2.41,1.21,1.2,1117,2772,136,2297,1507,243,108314,2.0650758,17.34,0.93,23.89,0.27,2.77,125.22,5.2,78.8,64.73,32.125,0.94912851,12.54013787,0.389564255,86.51073362,2.73188085,4.6,1.04,0.39,86.29,12.67,71.06,9.2,18.8,0.94,27.01666667,0.065871832,5.711259169,1.89410596,9.62,2.39170765,0.069543076,0.2,54.68,10.57161792,0.078455934,1.851013517,0.429,0.085176991,81.65066372,0.809181416,0.391814159,1.124336283,0,0,51.09633392,1.920733534,1.125115878,0.032146168,0.033753476,0.044200981,0.113315242,2.330597175,2.193975961,0.04018271,0.04018271,0.042593673,5.72,2.51,63.15,0.07,0.14,0.019,0.043,1.6,0.48,0.05,0.48,0.043
22-04-2025 19:00,183.7466667,,,,,7.063666667,0,6.026666667,,,,89.85966667,,,,,,,,,,,,,0,7,1.3,4.296888889,0.012844444,94.55262222,0.218444444,0.144466667,0.053377778,0.657888889,0.063466667,0.940321532,17.26733333,35.21477778,0.432222222,0.546222222,6.512222222,0.364555556,0.294555556,0.260777778,37.45022222,1.076777778,1.114213533,1470.233333,75,23.4,10,60,26.5,8,12.64,201,196,218,222,209.25,63,368,471,611,378.25,97,,78,93,53,56,145,47,60,44,46,105,555,41.97115385,450,86.38095238,2.44,1.21,1.23,1144,3467,0,2325,1471,247,109017,2.561868928,17.46,0.96,24.14,0.27,2.67,126.4125,5.2,78.8,64.73,32.125,0.94912851,12.54013787,0.389564255,86.51073362,2.73188085,4.6,1.04,0.39,86.29,12.67,71.06,9.2,18.8,0.94,27.01666667,0.065871832,5.711259169,1.89410596,9.62,2.39170765,0.069543076,0.2,54.68,10.57161792,0.078455934,1.851013517,0.429,0.085176991,81.65066372,0.809181416,0.391814159,1.124336283,0,0,51.09633392,1.920733534,1.125115878,0.032146168,0.033753476,0.044200981,0.113315242,2.330597175,2.193975961,0.04018271,0.04018271,0.042593673,5.72,2.51,63.15,0.07,0.14,0.019,0.043,1.6,0.48,0.05,0.48,0.043
22-04-2025 20:00,183.7466667,,,,,7.063666667,0,6.026666667,,,,89.85966667,,,,,,,,,,,,,0,6,1.3,4.308761905,0.01387619,94.5756381,0.226571429,0.145752381,0.051809524,0.615904762,0.061685714,0.957769783,17.43380952,35.42552381,0.420285714,0.56847619,6.568190476,0.380952381,0.286857143,0.264380952,37.01161905,1.129428571,1.135370082,1473.72381,75,23.4,10,60,26.5,8,13.03,204,210,229,214,214.25,63,367,471,611,378,121,,82,95,52,57,85,47,60,45,44,120,550,43.07875895,430,80.83333333,2.48,1.2,1.28,1157,3500,0,2317,1424,248,109616,2.57211472,18.05,0.98,23.85,0.3,2.78,123.4,5.2,78.8,64.73,32.125,0.94912851,12.54013787,0.389564255,86.51073362,2.73188085,4.6,1.04,0.39,86.29,12.67,71.06,9.2,18.8,0.94,27.01666667,0.065871832,5.711259169,1.89410596,9.62,2.39170765,0.069543076,0.2,54.68,10.57161792,0.078455934,1.851013517,0.429,0.085176991,81.65066372,0.809181416,0.391814159,1.124336283,0,0,51.09633392,1.920733534,1.125115878,0.032146168,0.033753476,0.044200981,0.113315242,2.330597175,2.193975961,0.04018271,0.04018271,0.042593673,5.72,2.51,63.15,0.07,0.14,0.019,0.043,1.6,0.48,0.05,0.48,0.043
22-04-2025 21:00,183.7466667,,,,,7.063666667,0,6.026666667,,,,89.85966667,,,,,,,,,,,,,0,7,1.3,4.320190476,0.015019048,94.58820952,0.235142857,0.148038095,0.048952381,0.58447619,0.059971429,0.977957832,17.79095238,35.62838095,0.394571429,0.605619048,6.631047619,0.395238095,0.269714286,0.270095238,36.46590476,1.180857143,1.160003968,1478.580952,75,23.4,10,60,26.5,8,13.79,203,206,217,217,210.75,63,366,470,610,377.25,122,,96,147,52,58,68,47,60,44,48,120,550,43.52689196,430,80.5,2.54,1.24,1.3,1158,3500,0,2325,1410,245,109770,2.568508402,18.29,1.01,23.73,0.29,2.66,123.4,5.2,78.8,64.73,32.125,0.94912851,12.54013787,0.389564255,86.51073362,2.73188085,4.6,1.04,0.39,86.29,12.67,71.06,9.2,18.8,0.94,27.01666667,0.065871832,5.711259169,1.89410596,9.62,2.39170765,0.069543076,0.2,54.68,10.57161792,0.078455934,1.851013517,0.429,0.085176991,81.65066372,0.809181416,0.391814159,1.124336283,0,0,51.09633392,1.920733534,1.125115878,0.032146168,0.033753476,0.044200981,0.113315242,2.330597175,2.193975961,0.04018271,0.04018271,0.042593673,5.72,2.51,63.15,0.07,0.14,0.019,0.043,1.6,0.48,0.05,0.48,0.043
22-04-2025 22:00,183.7466667,,,,,7.063666667,0,6.026666667,,,,89.85966667,,,,,,,,,,,,,0,7,1.3,4.331619048,0.016161905,94.60078095,0.243714286,0.15032381,0.046095238,0.553047619,0.058257143,0.998145881,18.14809524,35.8312381,0.368857143,0.642761905,6.693904762,0.40952381,0.252571429,0.275809524,35.92019048,1.232285714,1.184637853,1483.438095,75,23.4,10,60,26.5,8,14.69,211,204,221,213,212.25,63,366,469,609,376.75,116,,185,175,52,62,61,46,60,45,47,126,556,42.92497626,430,85.95238095,2.53,1.25,1.28,1161,3501,0,2313,1430,246,109799,2.568563642,18.08,1,24.04,0.28,2.83,124.195,5.2,78.8,64.73,32.125,0.94912851,12.54013787,0.389564255,86.51073362,2.73188085,4.6,1.04,0.39,86.29,12.67,71.06,9.2,18.8,0.94,27.01666667,0.065871832,5.711259169,1.89410596,9.62,2.39170765,0.069543076,0.2,54.68,10.57161792,0.078455934,1.851013517,0.429,0.085176991,81.65066372,0.809181416,0.391814159,1.124336283,0,0,51.09633392,1.920733534,1.125115878,0.032146168,0.033753476,0.044200981,0.113315242,2.330597175,2.193975961,0.04018271,0.04018271,0.042593673,5.72,2.51,63.15,0.07,0.14,0.019,0.043,1.6,0.48,0.05,0.48,0.043
01-05-2025 01:00,58.199,,,,,7.498,183.9703333,3.93,,,,74.92122334,,,,,,,,,,,,,0,6,1.3,4.350137931,0.017,94.9425931,0.156758621,0.116055172,0.043606897,0.323793103,0.050055172,1.046096661,18.81310345,36.41331034,0.409586207,0.61662069,6.707448276,0.31,0.28662069,0.25337931,34.81386207,1.18,1.218428051,1479.37931,75,23.4,10,60,26.5,8,8.89,285,260,240,228,253.25,58,360,467,601,371.5,86,,73,56,45,44,43,41,44,32,36,138,536,41.02626459,398,80.36231884,2.49,1.24,1.25,1100,4020,0,2223,1234,194,93320,3.46940928,16.87,0.92,24.25,0.33,3.64,117.785,5.378888889,79.04555556,69.83,32.781,0.973769824,10.92984141,0.417539648,87.67884912,3.223017578,7,1.03,0.45,87.36,11.16,71.03,9.21,18.7,1.06,19,0.057,5.25,1.84,9,2.42,0.056,0.18,55.1,10.88,0.056,2.072380952,0.05,0.1,95.04,0.79,0.44,1.3,0,0,21.3085024,3.030472047,1.58663458,0.023799519,0.003966586,0.06743197,0.21379901,2.268887449,3.256567475,0.166596631,0.031732692,0.015866346,0,0,0,0,0,0,0,0,0,0,0,0
01-05-2025 02:00,58.199,,,,,7.498,183.9703333,3.93,,,,74.92122334,,,,,,,,,,,,,0,7,1.3,4.338482759,0.017,94.98766897,0.151517241,0.112606897,0.047317241,0.298344828,0.047062069,1.033534308,18.83151724,36.192,0.430137931,0.613172414,6.66137931,0.308482759,0.286206897,0.25,35.01772414,1.18,1.223763366,1476.455172,75,23.4,10,60,26.5,8,0,226,205,183,171,196.25,58,360,467,602,371.75,158,,69,55,44,44,42,41,44,35,40,141,538,39.62532606,397,80.85106383,2.5,1.25,1.25,1146,4050,0,2277,1306,214,98090,3.325441164,16.71,0.95,25.46,0.3,3.66,117.9325,5.378888889,79.04555556,69.83,32.781,0.973769824,10.92984141,0.417539648,87.67884912,3.223017578,7,1.03,0.45,87.36,11.16,71.03,9.21,18.7,1.06,19,0.057,5.25,1.84,9,2.42,0.056,0.18,55.1,10.88,0.056,2.072380952,0.05,0.1,95.04,0.79,0.44,1.3,0,0,21.3085024,3.030472047,1.58663458,0.023799519,0.003966586,0.06743197,0.21379901,2.268887449,3.256567475,0.166596631,0.031732692,0.015866346,0,0,0,0,0,0,0,0,0,0,0,0
01-05-2025 03:00,58.199,,,,,7.498,183.9703333,3.93,,,,74.92122334,,,,,,,,,,,,,0,6,1.3,4.330206897,0.017,94.93677241,0.159793103,0.115917241,0.043593103,0.343862069,0.052855172,1.037330291,18.8397931,36.312,0.376344828,0.575931034,6.723448276,0.300206897,0.265517241,0.25,35.00531034,1.18,1.229400625,1478.937931,75,23.4,10,60,26.5,8,0,214,179,165,155,178.25,58,360,467,602,371.75,138,,79,54,45,43,42,41,44,32,39,143,540,40.6731453,397,81.32867133,2.52,1.28,1.24,1159,4050,0,2285,1337,218,98277,3.319118521,17.16,0.91,25.03,0.33,3.65,118.1975,5.378888889,79.04555556,69.83,32.781,0.973769824,10.92984141,0.417539648,87.67884912,3.223017578,7,1.03,0.45,87.36,11.16,71.03,9.21,18.7,1.06,19,0.057,5.25,1.84,9,2.42,0.056,0.18,55.1,10.88,0.056,2.072380952,0.05,0.1,95.04,0.79,0.44,1.3,0,0,21.3085024,3.030472047,1.58663458,0.023799519,0.003966586,0.06743197,0.21379901,2.268887449,3.256567475,0.166596631,0.031732692,0.015866346,0,0,0,0,0,0,0,0,0,0,0,0
